Timestamp	How did you get to this poll?	Which one are you?	When did you get into Yohaji?	What got you interested in Yohaji? (Optional)	Your NUMBER 1 favorite character?	Your other faves? (Around/up to 3)	Favorite character dynamics? (Around/up to 3)	Gush about your faves here!	Who were your favorite character(s) initially? (If it's not the same as your current faves)	Bonus question: Did you answer the 2022 poll?	Anything else you want to say?	no1	top3	Mentioned	when	reason	reason - character	og fav	wordcount	ships	Column 23	Column 24	Column 25
12/26/2024 13:23:57	Tumblr	Manga reader	2023	I was desperate to find a new favorite blondie boy	SANO	Ranmaru, Acchan, Haruaki	Sano and Beniko's friendship :] Gida and Momo is also funny	I love when Sano revealed he's not a youkai and damn that manga page is so pretty also also when Acchan said he just wanna show his hardwork to Seimei/Haruaki dang shit stings my heart, also I love when Haruaki looks like an amazing teacher like in last ep where he argues with Ebisu over the zashiki warashi kiddo yeah I want him on my school.	Hatanaka couldve been up there if the old men yaoi didn't snatch me	No		Sano	Ranmaru, Principal, Haruaki	Sano, Principal, Seimei, Haruaki	2023	Characters	Sano	Hatanaka	66	Sano & Beniko, Momoyama & Yanagida			
12/26/2024 13:26:14	Discord	Manga reader	Post anime release (Oct 2024 - now)	The art style and the hanako collabs 	Ashiya douman	2nd is suzaku, 3rd is Ebisu, 4th is HARUAKI	Gakutai, ebisu and kurahashi and Takahashi and kuniko as a family and also 4 gods of my god	Reading about Takahashi and kuniko’s backstory really sold me on Takahashi being a father like I love all the sweet interactions  he has with everyone he considers his family and the fact that he cares so much about her is so awesome!!!!! Also the 4 gods are so cool like the way they interact just shows their dynamic??	Takahashi	No		Principal	Ranmaru, Ebisu, Haruaki	Takahashi, Kuniko, 4-gods	Post anime release (Oct 2024 - now)	TBHK collab		Takahashi	58	Principal & Ranmaru, Ebisu & Kurahashi, Takahashi & Kuniko			
12/26/2024 13:27:04	Tumblr	Manga reader	Post anime release (Oct 2024 - now)	Someone I follow posted a manga screenshot	Akira Takahashi	Miki Rintarou, Fuji Touya, Ogata Kou	The Hatanaka couple, the intellectual trio, Beniko/Hijita/Kashima childhood friendship		Akisame Tamao & Miki Rintarou 	No		Takahashi	Rintarou, Fuji, Ogata		Post anime release (Oct 2024 - now)	Recommend by friend		Tamao, Rintarou	1	Izuna & Ibara, Yoseito trio, Beniko & Hijita & Kashima			
12/26/2024 13:28:21	Twitter	Manga reader	2024, irrelevant to anime announcement	seeing haruaki with hanako in that one art	ABE HARUAKI!!!	rintarou miki… rensuke nyuudou… and maybee ranmaru?	ranmaru and the principal… haruaki and rintarou and sano and haruaki?	I LOVE HARUAKI SO MUCH		No		Haruaki	Rintarou, Nyuudou, Ranmaru	Haruaki	2024, irrelevant to anime announcement	TBHK collab			5	Principal & Ranmaru, Haruaki & Rintarou, Haruaki & Sano			
12/26/2024 13:31:04	Twitter	Manga reader	2017 lol	BLAME YUNO	Haruaki!!	Mame, Hijikata, Sano	HaruSano, Trio Animals, All of class 2-3	HE IS SUNSHINE IN LITERAL FORM!! HE WENT FROM BEING SO SCAREDY CAT AND IDGAF AND BEING DRIVEN BY HIS INSTINCTS TO BEING A LITTLE BRAVER AND SHARING THINGS WITH EVERYONE HE LOVES AND BEING DRIVEN BY HIS INSTINCTS		No	THANK U FOR UR HARD WORK CANADA	Haruaki	Mame, Hijita, Sano	Haruaki	2017	Recommend by friend			39	Haruaki & Sano, Yoseito trio			
12/26/2024 13:31:43	Twitter	Read the manga after seeing the anime	Post anime announcement (Dec 2023 - Oct 2024)	Haru simp	Haru	Sano Rintarou Ame	Teacher Trios is made me laugh every time they all together 🤣🤣		Haru	No		Haruaki	Sano, Rintarou, Amaaki		Post anime announcement (Dec 2023 - Oct 2024)	Characters	Haruaki		1	Teacher trio			
12/26/2024 13:32:28	Twitter	Manga reader	2018	The art style was cute and the story was funny!!	Ogoso Saguru	Fuji Touya, Sano Mikoto, Zashiki Beniko	Ogoso x Fuji, Sano and Mame friendship, Renjou and Utagawa	Ogoso is such a cutie 😭 I love his personality and his idol alter ego is so cute. I love his dynamic with Fuji and I hope we see more of them in the future	Sano Mikoto	No		Ogoso	Fuji, Sano, Beniko	Ogoso, Fuji	2018	Art style, Comedy		Sano	35	Fuji & Ogoso, Sano & Mame, Renjou & Kuniko			
12/26/2024 13:34:51	Tumblr	Manga reader	2024, irrelevant to anime announcement	takahashi akira	takahashi	kai, fuji, hatanaka	takahashi/yamazaki/kuniko(family❤️)  fuji/ogoso		the same^_^	No		Takahashi	Kai, Fuji, Hatanaka		2024, irrelevant to anime announcement	Characters	Akira		1	Takahashi & Yamazaki & Kuniko, Fuji & Ogoso			
12/26/2024 13:36:28	Tumblr	Manga reader	2024, irrelevant to anime announcement	Remember the Ebisu poll, the poll about who's the best Ebisu, yeah I got introduced to yohaji there and finally this year I read it	Douman	Haruaki, Sano, Ranmaru	sanoharu as a ship and platonic, doumanxranmaru as a ship, Ebisu and Miki as enemies 	They stalled for how many years about the principal and the wait was so so worth it!!	Haruaki 	No		Principal	Haruaki, Sano, Ranmaru	Principal	2024, irrelevant to anime announcement	From me?!		Haruaki	17	Haruaki & Sano, Principal & Ranmaru, Ebisu & Rintarou			
12/26/2024 13:36:30	Twitter	Manga reader	2024, irrelevant to anime announcement	I got interested after seeing some of the manga panel in TikTok	Ashiya Douman	Takahashi Akira, Suzaku	Suzaku x Douman, platonic Haruaki and Sano, Nyudou x Kuniko	I really love acchan, at first I'm only interested to him bcs he looks so mysterious and I like his gap when he's being the principal and when he's outside. I hope I can see a lot more of his past other than the thing that alr shown in manga, I hope I can see what's his real reason to kill abe no seimei	Ashiya Douman	No		Principal	Takahashi, Ranmaru	Principal	2024, irrelevant to anime announcement	Tiktok			64	Principal & Ranmaru, Haruaki & Sano, Nyuudou & Kuniko			
